Frequency,MonetaryAvg,AvgQuantityPerTransaction,CustomerTenureDays,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueProducts,UniqueDescriptions,AvgProductsPerTransaction,NegativeQuantityCount,ZeroPriceCount,CancelledTransactions,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,Region,LoyaltyLevel,BasketSizeCategory,ProductDiversity,Gender,Country,ProblemRatio,ZeroPriceRatio,SupportBurden,BasketComplexity,ExplorationRatio,LinesPerProduct
3,25.423571428571428,12.964285714285714,366,374,0,9,12,0.0,13.51851851851852,25,25,8.333333333333334,0,0,0,0.0,28,3,9.333333333333334,41.0,1.0,5.0,UK,Ancien,Moyen,Explorateur,M,United Kingdom,0.0,0.0,0.0027247956403269754,0.8620689655172413,0.9615384615384616,1.0
1,79.6,8.0,0,374,2,10,12,0.0,,1,1,1.0,0,0,0,0.0,1,1,1.0,,2.0,,UK,Nouveau,Moyen,Spécialisé,Unknown,United Kingdom,0.0,0.0,2.0,0.5,0.5,0.5
81,54.86508982035928,32.17365269461078,371,374,2,12,12,0.1816367265469061,0.688,236,244,2.9135802469135803,23,0,23,0.0459081836327345,501,81,6.185185185185185,,2.0,5.0,UK,Ancien,Grand,Explorateur,Unknown,United Kingdom,0.13754164976819266,0.0,0.005376344086021506,0.4701195219123506,1.029535864978903,1.5804416403785488
52,42.47045112781954,18.19047619047619,371,374,0,14,12,0.0927318295739348,0.8793969849246231,55,55,1.0576923076923077,31,0,31,0.0776942355889724,399,52,7.673076923076923,70.0,2.0,4.0,UK,Ancien,Grand,Explorateur,F,United Kingdom,0.2326942355889724,0.0,0.005376344086021506,0.1375,0.9821428571428571,3.7289719626168227
13,76.16657894736842,30.026315789473685,372,374,0,10,10,0.0,9.91891891891892,27,27,2.076923076923077,7,0,7,0.1842105263157894,38,13,2.923076923076923,19.0,2.0,1.0,UK,Ancien,Grand,Explorateur,Unknown,United Kingdom,0.5431848852901484,0.0,0.005361930294906166,0.6923076923076923,0.9642857142857143,0.9499999999999998
10,17.415427135678396,8.231155778894472,357,374,1,12,9,0.0,1.7828282828282829,137,138,13.7,4,0,4,0.0201005025125628,199,10,19.9,,3.0,1.0,UK,Établi,Moyen,Explorateur,M,United Kingdom,0.0601005025125628,0.0,0.008379888268156424,0.685,1.0,1.3537414965986394
4,5.665850340136054,3.979591836734694,365,374,3,11,12,0.0,2.493150684931507,142,142,35.5,0,0,0,0.0,147,4,36.75,61.0,1.0,1.0,UK,Ancien,Petit,Explorateur,F,United Kingdom,0.0,0.0,0.00273224043715847,0.9594594594594594,0.993006993006993,1.0068493150684932
22,46.24229299363058,17.659235668789808,342,374,3,12,3,0.1687898089171974,1.0702875399361025,183,190,8.318181818181818,6,0,6,0.019108280254777,314,22,14.272727272727272,47.0,3.0,5.0,UK,Établi,Grand,Explorateur,Unknown,United Kingdom,0.057203518350015095,0.0,0.008746355685131196,0.580952380952381,1.0326086956521738,1.5317073170731705
1,96.3,48.5,0,374,2,11,12,0.0,0.0,2,2,2.0,0,0,0,0.0,2,1,2.0,55.0,3.0,2.0,Europe continentale,Nouveau,Grand,Spécialisé,F,Netherlands,0.0,0.0,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
8,33.943,23.07777777777778,343,374,2,11,12,0.0666666666666666,3.831460674157303,56,59,7.0,6,0,6,0.0666666666666666,90,8,11.25,,3.0,3.0,UK,Établi,Grand,Explorateur,Unknown,United Kingdom,0.19853479853479844,0.0,0.00872093023255814,0.6153846153846154,1.0350877192982457,1.40625
4,276.625,89.16666666666667,264,374,3,8,1,0.0,52.6,4,4,1.0,0,0,0,0.0,6,4,1.5,77.0,2.0,5.0,UK,Établi,Grand,Spécialisé,Unknown,United Kingdom,0.0,0.0,0.007547169811320755,0.5714285714285714,0.8,0.75
6,16.642888888888887,11.433333333333334,284,374,2,9,12,0.0,1.5754189944134078,150,150,25.0,0,0,0,0.0,180,6,30.0,38.0,3.0,4.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.010526315789473684,0.8287292817679558,0.9933774834437086,1.1538461538461537
1,4.194482758620689,2.9827586206896552,0,374,2,11,12,0.0,0.0,51,51,51.0,0,0,0,0.0,58,1,58.0,50.0,2.0,1.0,UK,Nouveau,Petit,Explorateur,Unknown,United Kingdom,0.0,0.0,2.0,0.864406779661017,0.9807692307692307,1.1153846153846154
17,6.040373563218392,3.614942528735632,369,374,4,14,12,0.2183908045977011,0.516546762589928,407,410,23.94117647058824,0,0,0,0.0,696,17,40.94117647058823,,3.0,3.0,UK,Ancien,Petit,Explorateur,M,United Kingdom,0.0,0.0,0.008108108108108109,0.5839311334289814,1.0049019607843137,1.6415094339622638
2,5.55390243902439,2.9186991869918697,340,374,6,12,11,0.5203252032520326,2.78688524590164,115,116,57.5,0,0,0,0.0,123,2,61.5,75.0,,1.0,UK,Établi,Petit,Explorateur,F,United Kingdom,0.0,0.0,,0.9274193548387096,1.0,1.0512820512820513
3,27.90428571428572,12.428571428571429,369,374,2,13,11,0.0,28.384615384615383,13,13,4.333333333333333,1,0,1,0.0714285714285714,14,3,4.666666666666667,39.0,1.0,1.0,UK,Ancien,Moyen,Modéré,F,United Kingdom,0.2047619047619047,0.0,0.002702702702702703,0.8666666666666667,0.9285714285714286,0.8750000000000001
1,16.675,7.928571428571429,0,374,2,12,12,0.0,0.0,14,14,14.0,0,0,0,0.0,14,1,14.0,78.0,2.0,1.0,UK,Nouveau,Moyen,Modéré,F,United Kingdom,0.0,0.0,2.0,0.9333333333333333,0.9333333333333333,0.9333333333333333
2,23.791379310344823,9.137931034482758,43,374,3,15,1,0.0,1.5357142857142858,25,25,12.5,0,0,0,0.0,29,2,14.5,61.0,2.0,2.0,UK,Jeune,Moyen,Explorateur,Unknown,United Kingdom,0.0,0.0,0.045454545454545456,0.8333333333333334,0.9615384615384616,1.0740740740740742
7,27.26965811965812,15.760683760683762,361,374,6,15,5,0.4786324786324786,3.0948275862068964,104,104,14.857142857142858,0,0,0,0.0,117,7,16.714285714285715,,3.0,3.0,UK,Établi,Grand,Explorateur,F,United Kingdom,0.0,0.0,0.008287292817679558,0.8813559322033898,0.9904761904761905,1.0540540540540542
60,107.09931623931624,105.64615384615384,369,374,3,12,8,0.0119658119658119,0.5941780821917808,369,372,6.15,17,0,17,0.029059829059829,585,60,9.75,,3.0,5.0,UK,Ancien,Grand,Explorateur,Unknown,United Kingdom,0.08708030687552866,0.0,0.008108108108108109,0.6296928327645052,1.0054054054054054,1.3636363636363635
4,13.053274336283186,7.893805309734513,351,374,3,12,12,0.0,3.125,82,82,20.5,0,0,0,0.0,113,4,28.25,44.0,3.0,,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.008522727272727272,0.7192982456140351,0.9879518072289156,1.313953488372093
28,20.16397959183673,14.428571428571429,351,374,3,11,6,0.0,0.887468030690537,159,163,5.678571428571429,4,0,4,0.010204081632653,392,28,14.0,76.0,2.0,4.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.030560315729345113,0.0,0.005681818181818182,0.40458015267175573,1.01875,2.0962566844919786
1,3.2629411764705885,1.8823529411764703,0,374,2,12,12,0.0,0.0,74,74,74.0,0,0,0,0.0,85,1,85.0,80.0,1.0,,UK,Nouveau,Petit,Explorateur,Unknown,United Kingdom,0.0,0.0,1.0,0.8604651162790697,0.9866666666666667,1.1333333333333333
18,171.43333333333337,61.45528455284553,372,374,2,12,12,0.0,2.9836065573770494,74,75,4.111111111111111,0,0,0,0.0,123,18,6.833333333333333,,2.0,5.0,UK,Ancien,Grand,Explorateur,M,United Kingdom,0.0,0.0,0.005361930294906166,0.5967741935483871,1.0,1.3369565217391304
4,4.705217391304348,1.9391304347826088,200,374,0,11,12,0.0,1.7543859649122806,100,100,25.0,1,0,1,0.008695652173913,115,4,28.75,45.0,2.0,3.0,UK,Établi,Petit,Explorateur,M,United Kingdom,0.025937031484257828,0.0,0.009950248756218905,0.8620689655172413,0.9900990099009901,1.1057692307692308
21,9.369737470167063,4.952267303102626,349,374,0,10,11,0.1408114558472553,0.8157894736842105,191,192,9.095238095238097,1,0,1,0.0023866348448687,419,21,19.95238095238096,77.0,3.0,,UK,Établi,Petit,Explorateur,F,United Kingdom,0.007148539606773462,0.0,0.008571428571428572,0.45476190476190476,1.0,1.976415094339623
2,22.33705882352941,12.882352941176473,130,374,0,10,4,0.0,8.125,17,17,8.5,0,0,0,0.0,17,2,8.5,33.0,1.0,2.0,UK,Jeune,Moyen,Modéré,M,United Kingdom,0.0,0.0,0.007633587786259542,0.9444444444444444,0.9444444444444444,0.8947368421052632
2,10.431304347826083,10.478260869565217,316,374,3,14,10,0.0,14.363636363636363,23,23,11.5,0,0,0,0.0,23,2,11.5,32.0,2.0,3.0,UK,Établi,Moyen,Explorateur,M,United Kingdom,0.0,0.0,0.006309148264984227,0.9583333333333334,0.9583333333333334,0.92
4,47.18285714285715,29.047619047619047,333,374,0,12,10,0.0,16.65,18,18,4.5,1,0,1,0.0476190476190476,21,4,5.25,,1.0,4.0,UK,Établi,Grand,Modéré,Unknown,United Kingdom,0.1385281385281385,0.0,0.0029940119760479044,0.8181818181818182,0.9473684210526315,0.9545454545454546
1,4.415352112676057,2.7746478873239435,0,374,2,12,12,0.0,0.0,69,69,69.0,0,0,0,0.0,71,1,71.0,79.0,3.0,3.0,UK,Nouveau,Petit,Explorateur,F,United Kingdom,0.0,0.0,3.0,0.9583333333333334,0.9857142857142858,1.0142857142857142
224,6.262839293408013,5.2154243860405,372,374,2,11,11,0.1544592847910383,0.0642102995044171,1769,1779,7.897321428571429,46,1,46,0.0099095217578629,4642,224,20.723214285714285,,1.0,3.0,UK,Ancien,Moyen,Explorateur,F,United Kingdom,0.029724296687865054,0.00021537798836958864,0.002680965147453083,0.3810036614258023,1.005084745762712,2.3291520321123933
2,3.305,1.8046875,319,374,0,12,10,0.0,2.5118110236220472,110,111,55.0,0,0,0,0.0,128,2,64.0,79.0,1.0,3.0,UK,Établi,Petit,Explorateur,Unknown,United Kingdom,0.0,0.0,0.003125,0.8527131782945736,1.0,1.1428571428571428
6,15.0192523364486,8.672897196261681,187,374,2,15,1,0.0,1.7452830188679245,72,72,12.0,0,0,0,0.0,107,6,17.833333333333332,,6.0,,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.031914893617021274,0.6666666666666666,0.9863013698630136,1.3717948717948718
4,18.89583333333333,7.916666666666667,302,373,2,12,4,0.0,27.27272727272728,7,7,1.75,0,0,0,0.0,12,4,3.0,61.0,2.0,1.0,UK,Établi,Moyen,Modéré,Unknown,United Kingdom,0.0,0.0,0.006600660066006601,0.5384615384615384,0.875,1.0909090909090908
6,16.144153846153845,4.769230769230769,271,373,2,12,6,0.0,4.203125,46,46,7.666666666666667,0,0,0,0.0,65,6,10.833333333333334,72.0,1.0,2.0,UK,Établi,Petit,Explorateur,M,United Kingdom,0.0,0.0,0.003676470588235294,0.696969696969697,0.9787234042553191,1.25
4,50.75825,23.975,327,373,1,9,4,0.0,8.35897435897436,35,35,8.75,1,0,1,0.025,40,4,10.0,69.0,2.0,3.0,UK,Établi,Grand,Explorateur,F,United Kingdom,0.07378048780487806,0.0,0.006097560975609756,0.8536585365853658,0.9722222222222222,1.0256410256410255
12,16.45293103448276,8.793103448275861,372,373,1,13,6,0.1336206896551724,1.593073593073593,129,129,10.75,2,0,2,0.0086206896551724,232,12,19.33333333333333,,2.0,3.0,Europe continentale,Ancien,Moyen,Explorateur,Unknown,Germany,0.025788071629421327,0.0,0.005361930294906166,0.5536480686695279,0.9923076923076923,1.6453900709219853
4,4.5056666666666665,2.3,371,373,2,14,12,0.0,2.0670391061452515,133,133,33.25,2,0,2,0.0111111111111111,180,4,45.0,,0.0,5.0,UK,Ancien,Petit,Explorateur,F,United Kingdom,0.03321055862492325,0.0,0.0,0.7348066298342542,0.9925373134328358,1.313868613138686
1,17.888888888888893,4.222222222222222,0,373,2,13,12,0.0,0.0,9,9,9.0,0,0,0,0.0,9,1,9.0,54.0,3.0,2.0,UK,Nouveau,Petit,Modéré,Unknown,United Kingdom,0.0,0.0,3.0,0.9,0.9,0.9
4,23.536470588235293,11.970588235294118,302,373,2,13,12,0.0,9.12121212121212,33,33,8.25,0,0,0,0.0,34,4,8.5,68.0,2.0,2.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.006600660066006601,0.9428571428571428,0.9705882352941176,0.918918918918919
3,29.94186046511628,15.186046511627907,343,373,2,14,11,0.0,4.023529411764706,59,59,19.666666666666668,0,0,0,0.0,86,3,28.666666666666668,,4.0,4.0,UK,Établi,Grand,Explorateur,M,United Kingdom,0.0,0.0,0.011627906976744186,0.6781609195402298,0.9833333333333333,1.3870967741935483
7,31.847309523809525,26.35952380952381,372,373,2,13,12,0.0,0.883054892601432,219,222,31.285714285714285,0,0,0,0.0,420,7,60.0,38.0,3.0,2.0,Europe du Nord,Ancien,Grand,Explorateur,F,Norway,0.0,0.0,0.00804289544235925,0.5201900237529691,1.009090909090909,1.8584070796460177
5,18.98730769230769,9.461538461538462,188,373,2,10,6,0.0,7.48,18,18,3.6,1,0,1,0.0384615384615384,26,5,5.2,26.0,3.0,2.0,UK,Établi,Moyen,Modéré,F,United Kingdom,0.11253561253561248,0.0,0.015873015873015872,0.6666666666666666,0.9473684210526315,1.1304347826086958
1,23.130000000000003,10.2,0,373,2,13,12,0.0,0.0,5,5,5.0,0,0,0,0.0,5,1,5.0,,1.0,3.0,UK,Nouveau,Moyen,Modéré,Unknown,United Kingdom,0.0,0.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
5,17.88402985074627,6.582089552238806,337,373,4,13,4,0.1641791044776119,5.075757575757576,61,61,12.2,0,0,0,0.0,67,5,13.4,35.0,1.0,1.0,UK,Établi,Moyen,Explorateur,M,United Kingdom,0.0,0.0,0.0029585798816568047,0.8970588235294118,0.9838709677419355,1.0151515151515151
12,67.18023255813955,31.232558139534884,365,373,1,13,4,0.0,8.547619047619047,27,27,2.25,0,0,0,0.0,43,12,3.583333333333333,21.0,5.0,,UK,Ancien,Grand,Explorateur,Unknown,United Kingdom,0.0,0.0,0.01366120218579235,0.6136363636363636,0.9642857142857143,1.1025641025641024
2,30.300000000000008,11.333333333333334,0,373,2,13,12,0.0,0.0,11,11,5.5,1,0,1,0.0833333333333333,12,2,6.0,42.0,1.0,5.0,UK,Nouveau,Moyen,Modéré,Unknown,United Kingdom,0.23717948717948717,0.0,1.0,0.8461538461538461,0.9166666666666666,0.9230769230769231
2,7.166603773584904,3.490566037735849,365,373,2,13,12,0.0,7.019230769230769,48,48,24.0,0,0,0,0.0,53,2,26.5,,1.0,,UK,Ancien,Petit,Explorateur,M,United Kingdom,0.0,0.0,0.00273224043715847,0.8888888888888888,0.9795918367346939,1.06
1,18.064814814814813,5.925925925925926,0,373,2,14,12,0.0,0.0,27,27,27.0,0,0,0,0.0,27,1,27.0,,3.0,1.0,UK,Nouveau,Moyen,Explorateur,F,United Kingdom,0.0,0.0,3.0,0.9642857142857143,0.9642857142857143,0.9642857142857143
248,22.45851600880908,13.074707775707267,372,373,3,14,11,0.0701338302558021,0.047610979329041,1794,1824,7.233870967741935,226,2,226,0.0382856174826359,5903,248,23.802419354838708,67.0,2.0,,Autre,Ancien,Moyen,Explorateur,Unknown,EIRE,0.11484388306529172,0.00033875338753387534,0.005361930294906166,0.30386178861788615,1.0161559888579388,2.890793339862879
5,19.44477477477478,10.342342342342342,273,373,6,11,2,0.5405405405405406,2.4727272727272727,80,82,16.0,0,0,0,0.0,111,5,22.2,75.0,6.0,4.0,UK,Établi,Moyen,Explorateur,Unknown,United Kingdom,0.0,0.0,0.021897810218978103,0.7142857142857143,1.0123456790123457,1.3058823529411765
169,5.053335838657146,2.864211449329826,371,373,2,12,11,0.1440561192534135,0.0384615384615384,1331,1353,7.875739644970414,136,0,136,0.0170362019290993,7983,169,47.23668639053255,,1.0,5.0,UK,Ancien,Petit,Explorateur,F,United Kingdom,0.051104338201644395,0.0,0.002688172043010753,0.16670841683366733,1.0157657657657657,5.322
13,15.932173913043478,10.281329923273658,342,373,2,14,12,0.289002557544757,0.8589743589743589,226,229,17.384615384615383,52,0,52,0.1329923273657289,391,13,30.07692307692308,43.0,4.0,5.0,Europe continentale,Établi,Moyen,Explorateur,F,Germany,0.3982984498147085,0.0,0.011661807580174927,0.576530612244898,1.0088105726872247,1.6359832635983267
16,5.192007952286282,3.2584493041749503,369,373,3,12,10,0.1630218687872763,0.7250996015936255,299,302,18.6875,3,0,3,0.0059642147117296,503,16,31.4375,70.0,1.0,5.0,UK,Ancien,Petit,Explorateur,F,United Kingdom,0.017868976616491505,0.0,0.002702702702702703,0.5932539682539683,1.0066666666666666,1.596825396825397
1,12.69375,8.875,0,373,2,14,12,0.0,0.0,8,8,8.0,0,0,0,0.0,8,1,8.0,19.0,2.0,3.0,UK,Nouveau,Moyen,Modéré,Unknown,United Kingdom,0.0,0.0,2.0,0.8888888888888888,0.8888888888888888,0.8888888888888888
6,38.35565217391305,21.717391304347824,293,373,2,14,3,0.0,6.488888888888889,24,24,4.0,2,0,2,0.0434782608695652,46,6,7.666666666666667,,1.0,1.0,UK,Établi,Grand,Explorateur,M,United Kingdom,0.1285846438482886,0.0,0.003401360544217687,0.5106382978723404,0.96,1.5333333333333334
13,45.53805882352941,23.194117647058825,106,373,3,15,1,0.0,0.5976331360946746,99,100,7.615384615384615,11,0,11,0.0647058823529411,170,13,13.076923076923077,,4.0,1.0,UK,Jeune,Grand,Explorateur,Unknown,United Kingdom,0.19336085311317502,0.0,0.037383177570093455,0.5789473684210527,1.0,1.5178571428571428
50,22.118407557354928,12.758434547908232,369,373,2,13,11,0.0553306342780027,0.4743243243243243,233,246,4.66,21,0,21,0.0283400809716599,741,50,14.82,64.0,0.0,2.0,UK,Ancien,Moyen,Explorateur,M,United Kingdom,0.08494385455656556,0.0,0.0,0.3140161725067385,1.0512820512820513,2.618374558303887
41,18.48611111111111,8.434640522875817,371,373,3,10,12,0.0620915032679738,1.147540983606557,184,186,4.487804878048781,4,0,4,0.0130718954248366,306,41,7.463414634146342,77.0,1.0,1.0,UK,Ancien,Moyen,Explorateur,M,United Kingdom,0.039130527346660705,0.0,0.002688172043010753,0.5993485342019544,1.0054054054054054,1.3599999999999999
2,11.5036,9.56,351,373,4,10,11,0.0,14.625,25,25,12.5,0,0,0,0.0,25,2,12.5,24.0,2.0,4.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.005681818181818182,0.9615384615384616,0.9615384615384616,0.9259259259259259
19,13.05868544600939,9.830985915492958,292,373,1,13,6,0.0751173708920187,1.3349056603773586,72,71,3.789473684210526,4,0,4,0.0187793427230046,213,19,11.210526315789474,61.0,0.0,5.0,UK,Établi,Moyen,Explorateur,F,United Kingdom,0.05616252029309805,0.0,0.0,0.3364485981308411,0.9726027397260274,2.3406593406593412
3,27.07666666666667,15.88888888888889,287,373,2,15,12,0.0,35.875,9,9,3.0,1,0,1,0.1111111111111111,9,3,3.0,,1.0,3.0,UK,Établi,Grand,Modéré,F,United Kingdom,0.3111111111111111,0.0,0.003472222222222222,0.9,0.9,0.75
1,5.342537313432834,2.313432835820896,0,373,2,15,12,0.0,0.0,64,64,64.0,0,0,0,0.0,67,1,67.0,,0.0,5.0,UK,Nouveau,Petit,Explorateur,F,United Kingdom,0.0,0.0,0.0,0.9411764705882353,0.9846153846153847,1.0307692307692307
2,28.35842105263158,8.368421052631579,61,373,1,9,2,0.0,3.388888888888889,16,16,8.0,0,0,0,0.0,19,2,9.5,64.0,2.0,5.0,UK,Jeune,Moyen,Modéré,F,United Kingdom,0.0,0.0,0.03225806451612903,0.8,0.9411764705882353,1.0555555555555556
9,15.5712030075188,12.225563909774436,368,373,0,13,12,0.1203007518796992,2.765151515151515,117,117,13.0,3,0,3,0.0225563909774436,133,9,14.77777777777778,52.0,2.0,4.0,UK,Ancien,Moyen,Explorateur,M,United Kingdom,0.06733251038042867,0.0,0.005420054200542005,0.8731343283582089,0.9915254237288136,1.0555555555555558
4,30.86244444444444,10.6,370,373,2,15,12,0.0,8.386363636363637,36,36,9.0,0,0,0,0.0,45,4,11.25,31.0,3.0,5.0,UK,Ancien,Moyen,Explorateur,F,United Kingdom,0.0,0.0,0.008086253369272238,0.782608695652174,0.972972972972973,1.125
3,39.75222222222222,26.11111111111111,312,373,2,15,12,0.0,39.0,8,8,2.6666666666666665,0,0,0,0.0,9,3,3.0,,2.0,5.0,UK,Établi,Grand,Modéré,Unknown,United Kingdom,0.0,0.0,0.006389776357827476,0.8,0.8888888888888888,0.8181818181818182
41,117.57237442922376,58.465753424657535,372,373,3,10,12,0.0228310502283105,1.6330275229357798,40,40,0.975609756097561,22,0,22,0.1004566210045662,219,41,5.341463414634147,53.0,0.0,4.0,UK,Ancien,Grand,Explorateur,F,United Kingdom,0.3004566210045662,0.0,0.0,0.18181818181818182,0.975609756097561,2.7037037037037037
