Frequency,MonetaryTotal,MonetaryAvg,MonetaryStd,MonetaryMin,MonetaryMax,TotalQuantity,AvgQuantityPerTransaction,MinQuantity,MaxQuantity,FirstPurchaseDaysAgo,PreferredDayOfWeek,PreferredHour,PreferredMonth,WeekendPurchaseRatio,AvgDaysBetweenPurchases,UniqueDescriptions,AvgProductsPerTransaction,UniqueCountries,NegativeQuantityCount,ZeroPriceCount,ReturnRatio,TotalTransactions,UniqueInvoices,AvgLinesPerInvoice,Age,SupportTicketsCount,SatisfactionScore,AgeCategory,SpendingCategory,FavoriteSeason,PreferredTimeOfDay,Region,LoyaltyLevel,WeekendPreference,BasketSizeCategory,ProductDiversity,Country,Churn,RegYear,RegMonth,GeoIP,CountryMismatch,MonetaryPerDay,AvgBasketValue,TenureRatio,CancelRate,ProductsPerTrans
3,711.86,25.423571428571428,29.77312934874216,7.800000000000001,165.0,363,12.964285714285714,1,32,374,0,9,12,0.0,13.51851851851852,25,8.333333333333334,1,0,0,0.0,28,3,9.333333333333334,41.0,1.0,5.0,35-44,High,Hiver,Matin,UK,Ancien,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,10,United States,1.0,1.9396730245231608,177.965,0.021798365122615803,0.0,0.8620689655172413
1,79.6,79.6,0.0,79.6,79.6,8,8.0,8,8,374,2,10,12,0.0,,1,1.0,1,0,0,0.0,1,1,1.0,,2.0,,Inconnu,Low,Hiver,Matin,UK,Nouveau,Inconnu,Moyen,Spécialisé,United Kingdom,1,2010,6,South Africa,1.0,79.6,39.8,374.0,0.0,0.5
81,27487.41,54.86508982035928,50.54074055098437,-110.43,306.0,16119,32.17365269461078,-48,192,374,2,12,12,0.1816367265469061,0.688,244,2.9135802469135803,1,23,0,0.0459081836327345,501,81,6.185185185185185,,2.0,5.0,Inconnu,VIP,Hiver,Midi,UK,Ancien,Semaine,Grand,Explorateur,United Kingdom,0,2010,12,United States,1.0,73.8908870967742,335.2123170731707,0.005376344086021506,0.045816733067729085,0.4701195219123506
52,16945.71,42.47045112781954,55.98517467790531,-63.75,532.8000000000001,7258,18.19047619047619,-11,288,374,0,14,12,0.0927318295739348,0.8793969849246231,55,1.0576923076923077,1,31,0,0.0776942355889724,399,52,7.673076923076923,70.0,2.0,4.0,65+,VIP,Hiver,Après-midi,UK,Ancien,Semaine,Grand,Explorateur,United Kingdom,0,2010,2,United States,1.0,45.552983870967736,319.73037735849056,0.005376344086021506,0.0775,0.1375
13,2894.33,76.16657894736842,82.68118539129574,-13.95,367.2000000000001,1141,30.026315789473685,-5,120,374,0,10,10,0.0,9.91891891891892,27,2.076923076923077,1,7,0,0.1842105263157894,38,13,2.923076923076923,19.0,2.0,1.0,18-24,VIP,Automne,Matin,UK,Ancien,Inconnu,Grand,Explorateur,United Kingdom,0,2010,1,,,7.759597855227882,206.73785714285714,0.002680965147453083,0.1794871794871795,0.6923076923076923
10,3465.6700000000005,17.415427135678396,13.9076639976737,-29.75,60.0,1638,8.231155778894472,-12,48,374,1,12,9,0.0,1.7828282828282829,138,13.7,1,4,0,0.0201005025125628,199,10,19.9,,3.0,1.0,Inconnu,VIP,Automne,Midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,10,United States,1.0,9.68064245810056,315.06090909090915,0.04748603351955307,0.02,0.685
4,832.88,5.665850340136054,6.137081078919305,0.42,40.56,585,3.979591836734694,1,108,374,3,11,12,0.0,2.493150684931507,142,35.5,1,0,0,0.0,147,4,36.75,61.0,1.0,1.0,55-64,High,Hiver,Matin,UK,Ancien,Inconnu,Petit,Explorateur,United Kingdom,0,2010,9,,,2.2756284153005466,166.576,0.02185792349726776,0.0,0.9594594594594594
22,14520.080000000002,46.24229299363058,49.33480116740088,-152.64,267.6,5545,17.659235668789808,-144,160,374,3,12,3,0.1687898089171974,1.0702875399361025,190,8.318181818181818,1,6,0,0.019108280254777,314,22,14.272727272727272,47.0,3.0,5.0,45-54,VIP,Printemps,Midi,UK,Établi,Semaine,Grand,Explorateur,United Kingdom,0,2010,7,United States,1.0,42.332594752186594,631.3078260869567,0.09037900874635568,0.01904761904761905,0.580952380952381
1,192.6,96.3,114.97556262093264,15.0,177.60000000000002,97,48.5,1,96,374,2,11,12,0.0,0.0,2,2.0,1,0,0,0.0,2,1,2.0,55.0,3.0,2.0,55-64,Medium,Hiver,Matin,Europe continentale,Nouveau,Inconnu,Grand,Spécialisé,Netherlands,1,2010,10,,,192.6,96.3,374.0,0.0,0.6666666666666666
8,3054.87,33.943,28.548470411021825,-13.16,116.0,2077,23.07777777777778,-4,100,374,2,11,12,0.0666666666666666,3.831460674157303,59,7.0,1,6,0,0.0666666666666666,90,8,11.25,,3.0,3.0,Inconnu,VIP,Hiver,Matin,UK,Établi,Semaine,Grand,Explorateur,United Kingdom,0,2010,12,India,1.0,8.880436046511628,339.43,0.0872093023255814,0.06593406593406594,0.6153846153846154
4,1659.75,276.625,93.4774397916417,132.0,408.0,535,89.16666666666667,36,147,374,3,8,1,0.0,52.6,4,1.0,1,0,0,0.0,6,4,1.5,77.0,2.0,5.0,65+,High,Hiver,Matin,UK,Établi,Inconnu,Grand,Spécialisé,United Kingdom,1,2010,1,France,1.0,6.263207547169811,331.95,0.41132075471698115,0.0,0.5714285714285714
6,2995.72,16.642888888888887,7.1135332104509565,5.04,50.85,2058,11.433333333333334,1,96,374,2,9,12,0.0,1.5754189944134078,150,25.0,1,0,0,0.0,180,6,30.0,38.0,3.0,4.0,35-44,VIP,Hiver,Matin,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,11,India,1.0,10.511298245614034,427.96,0.312280701754386,0.0,0.8287292817679558
1,243.28,4.194482758620689,3.4974608194957733,0.42,19.05,173,2.9827586206896552,1,28,374,2,11,12,0.0,0.0,51,51.0,1,0,0,0.0,58,1,58.0,50.0,2.0,1.0,45-54,Medium,Hiver,Matin,UK,Nouveau,Inconnu,Petit,Explorateur,United Kingdom,1,2010,10,United Kingdom,0.0,243.28,121.64,374.0,0.0,0.864406779661017
17,4204.1,6.040373563218392,8.370918354927017,0.12,76.5,2516,3.614942528735632,1,288,374,4,14,12,0.2183908045977011,0.516546762589928,410,23.94117647058824,1,0,0,0.0,696,17,40.94117647058823,,3.0,3.0,Inconnu,VIP,Hiver,Après-midi,UK,Ancien,Semaine,Petit,Explorateur,United Kingdom,0,2010,11,United States,1.0,11.362432432432433,233.56111111111113,0.010810810810810811,0.0,0.5839311334289814
2,683.13,5.55390243902439,5.618184123261079,0.42,35.400000000000006,359,2.9186991869918697,1,12,374,6,12,11,0.5203252032520326,2.78688524590164,116,57.5,1,0,0,0.0,123,2,61.5,75.0,,1.0,65+,High,Automne,Midi,UK,Établi,Weekend,Petit,Explorateur,United Kingdom,0,2010,10,Australia,1.0,2.0033137829912024,227.71,0.09970674486803519,0.0,0.9274193548387096
3,390.66,27.90428571428572,23.04183209672413,-8.850000000000001,90.0,174,12.428571428571429,-3,72,374,2,13,11,0.0,28.384615384615383,13,4.333333333333333,1,1,0,0.0714285714285714,14,3,4.666666666666667,39.0,1.0,1.0,35-44,Medium,Automne,Midi,UK,Ancien,Inconnu,Moyen,Modéré,United Kingdom,0,2010,9,United States,1.0,1.055837837837838,97.665,0.010810810810810811,0.06666666666666667,0.8666666666666667
1,233.45,16.675,1.976472187432018,14.85,20.4,111,7.928571428571429,3,12,374,2,12,12,0.0,0.0,14,14.0,1,0,0,0.0,14,1,14.0,78.0,2.0,1.0,65+,Medium,Hiver,Midi,UK,Nouveau,Inconnu,Moyen,Modéré,United Kingdom,1,2010,6,India,1.0,233.45,116.725,374.0,0.0,0.9333333333333333
2,689.9499999999999,23.791379310344823,17.99679569180063,7.800000000000001,79.2,265,9.137931034482758,3,16,374,3,15,1,0.0,1.5357142857142858,25,12.5,1,0,0,0.0,29,2,14.5,61.0,2.0,2.0,55-64,High,Hiver,Après-midi,UK,Jeune,Inconnu,Moyen,Explorateur,United Kingdom,1,2010,3,South Korea,1.0,15.680681818181817,229.98333333333332,7.5,0.0,0.8333333333333334
7,3190.55,27.26965811965812,22.17251330891097,0.42,102.0,1844,15.760683760683762,1,288,374,6,15,5,0.4786324786324786,3.0948275862068964,104,14.857142857142858,1,0,0,0.0,117,7,16.714285714285715,,3.0,3.0,Inconnu,VIP,Printemps,Après-midi,UK,Établi,Semaine,Grand,Explorateur,United Kingdom,0,2010,8,China,1.0,8.813674033149171,398.81875,0.03314917127071823,0.0,0.8813559322033898
60,62653.1,107.09931623931624,105.17001276900676,-420.0,622.5,61803,105.64615384615384,-200,1600,374,3,12,8,0.0119658119658119,0.5941780821917808,372,6.15,1,17,0,0.029059829059829,585,60,9.75,,3.0,5.0,Inconnu,VIP,Été,Midi,UK,Ancien,Semaine,Grand,Explorateur,United Kingdom,0,2010,8,United States,1.0,169.3327027027027,1027.1,0.010810810810810811,0.02901023890784983,0.6296928327645052
4,1475.02,13.053274336283186,15.413203838782298,0.84,91.8,892,7.893805309734513,1,48,374,3,12,12,0.0,3.125,82,20.5,1,0,0,0.0,113,4,28.25,44.0,3.0,,35-44,High,Hiver,Midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,1,Bangladesh,1.0,4.190397727272727,295.004,0.0625,0.0,0.7192982456140351
28,7904.280000000001,20.16397959183673,14.508505979568442,-10.2,175.2,5656,14.428571428571429,-24,144,374,3,11,6,0.0,0.887468030690537,163,5.678571428571429,1,4,0,0.010204081632653,392,28,14.0,76.0,2.0,4.0,65+,VIP,Été,Matin,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,8,Egypt,1.0,22.45534090909091,272.5613793103449,0.0625,0.010178117048346057,0.40458015267175573
1,277.35,3.2629411764705885,2.852236308720635,0.29,13.52,160,1.8823529411764703,1,8,374,2,12,12,0.0,0.0,74,74.0,1,0,0,0.0,85,1,85.0,80.0,1.0,,65+,Medium,Hiver,Midi,UK,Nouveau,Inconnu,Petit,Explorateur,United Kingdom,1,2010,10,,,277.35,138.675,374.0,0.0,0.8604651162790697
18,21086.300000000003,171.43333333333337,452.75777216069145,6.72,3254.4,7559,61.45528455284553,1,960,374,2,12,12,0.0,2.9836065573770494,75,4.111111111111111,1,0,0,0.0,123,18,6.833333333333333,,2.0,5.0,Inconnu,VIP,Hiver,Midi,UK,Ancien,Inconnu,Grand,Explorateur,United Kingdom,0,2010,12,France,1.0,56.53163538873996,1109.8052631578948,0.005361930294906166,0.0,0.5967741935483871
4,541.1,4.705217391304348,8.761843448168955,-25.5,79.9,223,1.9391304347826088,-6,12,374,0,11,12,0.0,1.7543859649122806,100,25.0,1,1,0,0.008695652173913,115,4,28.75,45.0,2.0,3.0,45-54,High,Hiver,Matin,UK,Établi,Inconnu,Petit,Explorateur,United Kingdom,1,2010,9,Japan,1.0,2.692039800995025,108.22,0.8606965174129353,0.008620689655172414,0.8620689655172413
21,3925.92,9.369737470167063,16.0671952539341,-175.0,153.0,2075,4.952267303102626,-1,36,374,0,10,11,0.1408114558472553,0.8157894736842105,192,9.095238095238097,1,1,0,0.0023866348448687,419,21,19.95238095238096,77.0,3.0,,65+,VIP,Automne,Matin,UK,Établi,Semaine,Petit,Explorateur,United Kingdom,0,2010,11,,,11.216914285714285,178.4509090909091,0.06857142857142857,0.002380952380952381,0.45476190476190476
2,379.73,22.33705882352941,18.437844154315428,10.2,91.8,219,12.882352941176473,2,48,374,0,10,4,0.0,8.125,17,8.5,1,0,0,0.0,17,2,8.5,33.0,1.0,2.0,25-34,Medium,Printemps,Matin,UK,Jeune,Inconnu,Moyen,Modéré,United Kingdom,1,2010,8,United States,1.0,2.898702290076336,126.57666666666667,1.8549618320610688,0.0,0.9444444444444444
2,239.92,10.431304347826083,21.67213739183182,1.25,79.2,241,10.478260869565217,1,144,374,3,14,10,0.0,14.363636363636363,23,11.5,1,0,0,0.0,23,2,11.5,32.0,2.0,3.0,25-34,Medium,Automne,Après-midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,8,India,1.0,0.7568454258675078,79.97333333333333,0.17981072555205047,0.0,0.9583333333333334
4,990.8400000000004,47.18285714285715,50.33315379974289,-17.700000000000003,177.60000000000002,610,29.047619047619047,-6,96,374,0,12,10,0.0,16.65,18,4.5,1,1,0,0.0476190476190476,21,4,5.25,,1.0,4.0,Inconnu,High,Automne,Midi,UK,Établi,Inconnu,Grand,Modéré,United Kingdom,0,2010,11,Brazil,1.0,2.9665868263473065,198.16800000000006,0.11976047904191617,0.045454545454545456,0.8181818181818182
1,313.49000000000007,4.415352112676057,3.77889206400346,0.65,19.8,197,2.7746478873239435,1,16,374,2,12,12,0.0,0.0,69,69.0,1,0,0,0.0,71,1,71.0,79.0,3.0,3.0,65+,Medium,Hiver,Midi,UK,Nouveau,Inconnu,Petit,Explorateur,United Kingdom,1,2010,3,,,313.49000000000007,156.74500000000003,374.0,0.0,0.9583333333333334
224,29072.1,6.262839293408013,38.3936798721033,-1829.84,850.5,24210,5.2154243860405,-244,576,374,2,11,11,0.1544592847910383,0.0642102995044171,1779,7.897321428571429,1,46,1,0.0099095217578629,4642,224,20.723214285714285,,1.0,3.0,Inconnu,VIP,Automne,Matin,UK,Ancien,Semaine,Moyen,Explorateur,United Kingdom,0,2010,7,Sweden,1.0,77.94128686327078,129.20933333333332,0.002680965147453083,0.009907387465001078,0.3810036614258023
2,423.04,3.305,2.477535923446622,0.39,12.75,231,1.8046875,1,12,374,0,12,10,0.0,2.5118110236220472,111,55.0,1,0,0,0.0,128,2,64.0,79.0,1.0,3.0,65+,Medium,Automne,Midi,UK,Établi,Inconnu,Petit,Explorateur,United Kingdom,0,2010,8,,,1.322,141.01333333333335,0.16875,0.0,0.8527131782945736
6,1607.0600000000002,15.0192523364486,5.904255373135322,3.12,31.6,928,8.672897196261681,1,24,374,2,15,1,0.0,1.7452830188679245,72,12.0,1,0,0,0.0,107,6,17.833333333333332,,6.0,,Inconnu,High,Hiver,Après-midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,1,2010,10,United States,1.0,8.548191489361702,229.58,0.9893617021276596,0.0,0.6666666666666666
4,226.75,18.89583333333333,3.697939127119155,13.05,26.1,95,7.916666666666667,2,18,373,2,12,4,0.0,27.27272727272728,7,1.75,1,0,0,0.0,12,4,3.0,61.0,2.0,1.0,55-64,Medium,Printemps,Midi,UK,Établi,Inconnu,Moyen,Modéré,United Kingdom,0,2010,9,Japan,1.0,0.7483498349834984,45.35,0.23432343234323433,0.0,0.5384615384615384
6,1049.37,16.144153846153845,32.05769383530982,0.83,158.75,310,4.769230769230769,1,25,373,2,12,6,0.0,4.203125,46,7.666666666666667,1,0,0,0.0,65,6,10.833333333333334,72.0,1.0,2.0,65+,High,Été,Midi,UK,Établi,Inconnu,Petit,Explorateur,United Kingdom,1,2010,12,Spain,1.0,3.85797794117647,149.91,0.375,0.0,0.696969696969697
4,2030.33,50.75825,53.16003761683278,-12.75,179.0,959,23.975,-3,100,373,1,9,4,0.0,8.35897435897436,35,8.75,1,1,0,0.025,40,4,10.0,69.0,2.0,3.0,65+,VIP,Printemps,Matin,UK,Établi,Inconnu,Grand,Explorateur,United Kingdom,0,2010,11,Singapore,1.0,6.1900304878048775,406.066,0.1402439024390244,0.024390243902439025,0.8536585365853658
12,3817.08,16.45293103448276,7.674131620825337,-17.4,41.6,2040,8.793103448275861,-12,60,373,1,13,6,0.1336206896551724,1.593073593073593,129,10.75,1,2,0,0.0086206896551724,232,12,19.33333333333333,,2.0,3.0,Inconnu,VIP,Été,Midi,Europe continentale,Ancien,Semaine,Moyen,Explorateur,Germany,0,2010,6,United Kingdom,1.0,10.233458445040215,293.6215384615385,0.002680965147453083,0.008583690987124463,0.5536480686695279
4,811.02,4.5056666666666665,4.749451259100343,-8.95,29.85,414,2.3,-1,24,373,2,14,12,0.0,2.0670391061452515,133,33.25,1,2,0,0.0111111111111111,180,4,45.0,,0.0,5.0,Inconnu,High,Hiver,Après-midi,UK,Ancien,Inconnu,Petit,Explorateur,United Kingdom,0,2010,5,United States,1.0,2.1801612903225807,162.204,0.005376344086021506,0.011049723756906077,0.7348066298342542
1,161.00000000000003,17.888888888888893,6.67845312262586,10.2,33.9,38,4.222222222222222,1,12,373,2,13,12,0.0,0.0,9,9.0,1,0,0,0.0,9,1,9.0,54.0,3.0,2.0,45-54,Medium,Hiver,Midi,UK,Nouveau,Inconnu,Petit,Modéré,United Kingdom,1,2010,7,Hong Kong,1.0,161.00000000000003,80.50000000000001,373.0,0.0,0.9
4,800.24,23.536470588235293,42.11564107940673,1.25,181.25,407,11.970588235294118,1,125,373,2,13,12,0.0,9.12121212121212,33,8.25,1,0,0,0.0,34,4,8.5,68.0,2.0,2.0,65+,High,Hiver,Midi,UK,Établi,Inconnu,Moyen,Explorateur,United Kingdom,0,2010,4,Japan,1.0,2.641056105610561,160.048,0.23432343234323433,0.0,0.9428571428571428
3,2575.0,29.94186046511628,30.769113371600728,1.25,204.0,1306,15.186046511627907,1,80,373,2,14,11,0.0,4.023529411764706,59,19.666666666666668,1,0,0,0.0,86,3,28.666666666666668,,4.0,4.0,Inconnu,VIP,Automne,Après-midi,UK,Établi,Inconnu,Grand,Explorateur,United Kingdom,0,2010,12,Puerto Rico,1.0,7.4854651162790695,643.75,0.0872093023255814,0.0,0.6781609195402298
7,13375.87,31.847309523809525,27.0369316523465,2.88,203.52,11071,26.35952380952381,2,240,373,2,13,12,0.0,0.883054892601432,222,31.285714285714285,1,0,0,0.0,420,7,60.0,38.0,3.0,2.0,35-44,VIP,Hiver,Midi,Europe du Nord,Ancien,Inconnu,Grand,Explorateur,Norway,0,2010,7,India,1.0,35.86024128686327,1671.98375,0.002680965147453083,0.0,0.5201900237529691
5,493.67,18.98730769230769,13.03412031790172,-25.0,50.85,246,9.461538461538462,-20,48,373,2,10,6,0.0,7.48,18,3.6,1,1,0,0.0384615384615384,26,5,5.2,26.0,3.0,2.0,25-34,Medium,Été,Matin,UK,Établi,Inconnu,Moyen,Modéré,United Kingdom,1,2010,9,United States,1.0,2.612010582010582,82.27833333333334,0.9788359788359788,0.037037037037037035,0.6666666666666666
1,115.65,23.130000000000003,4.628660713424566,14.85,25.200000000000003,51,10.2,3,12,373,2,13,12,0.0,0.0,5,5.0,1,0,0,0.0,5,1,5.0,,1.0,3.0,Inconnu,Medium,Hiver,Midi,UK,Nouveau,Inconnu,Moyen,Modéré,United Kingdom,1,2010,10,Brazil,1.0,115.65,57.825,373.0,0.0,0.8333333333333334
5,1198.23,17.88402985074627,5.997743024924862,10.08,50.400000000000006,441,6.582089552238806,1,24,373,4,13,4,0.1641791044776119,5.075757575757576,61,12.2,1,0,0,0.0,67,5,13.4,35.0,1.0,1.0,35-44,High,Printemps,Midi,UK,Établi,Semaine,Moyen,Explorateur,United Kingdom,0,2010,7,Japan,1.0,3.545059171597633,199.705,0.10650887573964497,0.0,0.8970588235294118
12,2888.7500000000005,67.18023255813955,69.31763942647582,7.5,232.0,1343,31.232558139534884,1,160,373,1,13,4,0.0,8.547619047619047,27,2.25,1,0,0,0.0,43,12,3.583333333333333,21.0,5.0,,18-24,VIP,Printemps,Midi,UK,Ancien,Inconnu,Grand,Explorateur,United Kingdom,0,2010,4,United Kingdom,0.0,7.8927595628415315,222.2115384615385,0.02185792349726776,0.0,0.6136363636363636
